user_name,user_followers,user_friends,user_favourites,potential_bot
EKITI COVID19 UPDATES,865,3,28.0,False
Tonymhoon,16,145,132.0,False
Scott Petty,522,599,3076.0,False
Ty King,719,1034,84.0,True
SPsofIndia,2612,311,1652.0,False
Jimbo360,56,422,1677.0,False
Austeiin 🔞,1227,847,32189.0,False
PTBO_CANADA 🇨🇦,20721,722,23706.0,False
Andrew S. Roe-Crines 🏳️‍🌈 🚴‍♂️,3927,3936,2254.0,False
Wear A. Mask,6,99,367.0,True
#Angeneme OUT NOW ON ALL DIGITAL STORES!!!,1135,895,3.0,True
Inves2money,286,489,371.0,False
Michael B.,344,815,2907.0,False
Nelson Amaral,294,879,415.0,False
Farah Khan,230,605,7.0,True
Lynn Rousseau-Tuitt,7258,7899,21187.0,False
ArogyaAndhra,77119,79,523.0,False
Nicehands35,8,9,59.0,False
Mirtika (But You Can Call Me Mir),938,1384,24400.0,False
Anthony Nicodemo🏳️‍🌈🇺🇸🏀,3336,1061,4909.0,False
Paris Tyler,355,842,8765.0,False
H00tingNight0wl,36,438,197.0,False
Coronavirus ☣️ Turkish Agency,8332,63,175.0,True
Countergrind,287,974,7969.0,False
Cindie Vaccaro 🇺🇸⚜🇮🇱,25890,27074,107015.0,False
Daphne C. Harris,354,475,11590.0,False
Assistance Croatia,177,92,14339.0,False
Frederick Frank,2160,4989,106290.0,False
Observatory,113,109,10.0,False
G V Vinod Kumar,543,330,173.0,False
Wear A. Mask,6,99,367.0,True
peter,936,1324,61241.0,False
EJ,685,2221,11301.0,False
Covid19Qatar,11293,15,4.0,True
Todd J Zola,494,173,3696.0,False
Mojubaolu Okome,1537,556,54686.0,False
Report Annapolis,137,897,35.0,False
Maria M. Agosto,820,1234,21210.0,False
Isaac Bogoch,43668,778,20622.0,False
Kendall Harmon,1613,2762,674.0,False
Eyewitness News,1164651,3706,268.0,False
The Hindu,6296857,201,144.0,False
Yicai Global 第一财经,262750,2238,853.0,False
Angsuman's Server,83,28,133.0,False
Kevin Guest,902,1561,4608.0,False
Dr. Kate Tulenko,3202,2675,118.0,False
Timothy Dunn,5429,1986,40843.0,False
Namita_TNIE,279,188,468.0,False
Village_Man🇳🇬🇳🇬🇳🇬⚓⚓⚓⛈🌦🌤☂⛱☃☄❄🔥☂⚡🌂🌠🌜,121,1907,366.0,False
punam nanda,337,356,3307.0,False
Global Policy,11354,3846,2637.0,False
Combative Firebrand,2729,4999,120801.0,False
UNICEF New Zealand,6779,2609,3735.0,False
Smart,2338,13,1.0,True
Wandsworth Council Business Team,4409,4609,7135.0,False
Stephen Mercy,121,239,1259.0,False
SSRF Spirituality,14625,2435,3142.0,False
Lindy🌨,101,109,175.0,False
Keerthana J,747,0,91.0,False
Wipro Limited,479927,932,4981.0,False
Wally Bock,24887,11161,80.0,False
Gulf News,1142417,229,486.0,False
Monte DeArmoun,1354,3222,1676.0,False
"J.-F. Claude, M.S.M.",10304,1543,105258.0,False
Emile Smith,439,424,1372.0,False
Jayanth P,1261,441,5619.0,False
Prof Sara Mole,1106,784,8597.0,False
myKhel.com,11076,900,146.0,False
TechGenyz,19567,14662,2109.0,False
adil,1063,1153,722.0,False
Fady Hocheimy,1710,225,1551.0,False
christal owens-thomp,72,248,406.0,False
Dr. Thomas Wilckens,3557,3135,10579.0,False
Josh,1100,938,4189.0,False
ANDREA  BURKE,614,397,2673.0,False
cinemarascals,287,2114,343.0,False
marklaverdure,10078,10316,19623.0,False
Colin Robinson,374,499,27401.0,False
Andrew Morgan📐✏🔨📏 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺,1516,1240,18473.0,False
Cornishview,4769,4725,43917.0,False
Ladja,769,656,2144.0,False
Mary Farmer 🇬🇧 Stop Cyber Bullying,1333,626,5451.0,False
Jaimin kumar,26,171,161.0,False
ChericeAntoinette,1497,2504,12413.0,False
BreakingNewsWW,3332,110,10590.0,False
GlobalPandemic.NET,26108,26003,2.0,True
@NaniExperience,102,388,1885.0,True
MorningGlory,371,289,24707.0,False
Jackie Bickerstaffe,169,135,11038.0,False
Stephanie,163,166,598.0,False
Raza Ahmad Rumi,492605,6899,58197.0,False
Mx. Joe~Anthony Sierra Let us pray #COVID19 away,355,228,3685.0,False
COVID-19: The Numbers,14,87,3.0,True
Ines Abdelaziz ✨,35,353,1150.0,False
TNIE Andhra Pradesh,3426,179,769.0,False
Shantiswarup Mahapatra ©,432,432,5470.0,False
Mindful,2146,1968,572.0,False
marklaverdure,10078,10316,19623.0,False
Maryellen Alvarez,58,180,6845.0,False
Suky Spook,1960,1956,95918.0,False
knight_Nostalgia,210,967,3294.0,False
William Laferriere,638,1177,11776.0,False
Keerthana J,747,0,91.0,False
Anthonia👩🏻‍🎓,205,153,10553.0,False
Kᴏʟʟʏ Sᴛᴜᴅɪᴏꜱ ™,91354,1561,2804.0,False
Vamsi Shekar,29871,404,25304.0,False
BODYSLAM.NET,25425,19091,25201.0,False
Sajjad Ali Altamash,181,7,361.0,False
Shabraiz Bashir (شبریز بَشیر),336,79,479.0,False
CILT Ireland,924,517,1432.0,False
The Lancet Infectious Diseases,41714,242,760.0,False
CBC Day 6,17038,2603,2368.0,False
Mark Thoms,119,455,1886.0,False
JB,3187,4722,9490.0,False
Wood Inn Birdhouses,2,19,60.0,True
TinkerLane 😷 Mask/Handwashing/Distance ⚽🗽🌌🍷🐋🌊,4809,4920,2021.0,False
titus tittoh,283,325,1894.0,False
Sarkazzum,12,22,19.0,True
Chris,122,122,3098.0,False
S Mannar Mannan,1005,418,131.0,False
marklaverdure,10078,10316,19623.0,False
Dr. Alia Shah,6229,302,3177.0,False
MMBBDomains,93,66,212.0,False
Jordan (Free Palestine),503,1053,24673.0,False
GlobalPandemic.NET,26108,26003,2.0,True
Qhawekazi,1974,1171,48367.0,False
Anthony Boadle,5507,656,1485.0,False
Soni Mishra,381,231,301.0,False
Tarama Taruhei,1615,3733,5021.0,False
Diana Mashni Awawdeh🇵🇸,411,499,1374.0,False
"Debbie Fucoloro, PhD",4471,2508,45011.0,False
Jordan  Isoa,551,505,467.0,False
Threader,47139,1166,3532.0,False
Amogh Chaphalkar,410,1215,1844.0,False
Douglas Richards,69,419,2917.0,False
#NewSong #WaSwa #AfroHouse,2011,4978,1785.0,False
Kalinga TV,75802,176,466.0,False
Olayinka Opeyemi,5753,5746,43907.0,False
Anees Akhter,237,651,13045.0,False
CBZ Holdings,21818,627,19827.0,False
Katishia,766,742,73058.0,False
Angsuman's Server,83,28,133.0,False
LatestLY,62622,348,97.0,False
CEI-TheDigitalOffice,1701,1119,1958.0,False
Martin County BOCC,4342,1056,8453.0,False
Athena Akrami,3033,425,2390.0,False
Va. Hazmat Assoc.,2447,340,544.0,False
"Dani, MPH",4049,3852,31465.0,False
New Straits Times,716342,411,874.0,False
TNIE Andhra Pradesh,3426,179,769.0,False
Bella JS,2370,3951,523042.0,False
Tamilanwoods,130619,180,1413.0,False
Concha Chulita🍞,391,4996,34035.0,False
#NewSong #WaSwa #AfroHouse,2011,4978,1785.0,False
ANI,4515177,0,0.0,True
Ben Foerg,235,241,5981.0,False
Jatin Anand,7932,976,8652.0,False
Mirtika (But You Can Call Me Mir),938,1384,24400.0,False
The Open Source,19,46,3.0,True
Charles Mapundu,11,40,192.0,False
EY Automotive,3648,449,405.0,False
🆘 ssǝl ǝʇɐɥ ǝɹoɯ ǝʌol😷🗳,3262,4999,22895.0,False
JasonAndJessica,5,80,135.0,False
Robert,133,290,1002.0,False
I am vadodara,598,21,386.0,False
Kaushik LM,315626,384,52061.0,False
Nicole B Shaw,235,179,23456.0,False
Jennyfer Ambe,735,505,11596.0,False
#KITFEST2020 5th Edition,241,16,1884.0,False
Lukas Lee 🤘🏻,149,389,28049.0,False
RisingSouthAsia,243,518,3953.0,False
James Banaag,95880,925,22536.0,False
Amy Stewart Hale,21525,21060,135552.0,False
ᴊᴇɴ٩(͡๏̯͡๏)۶ŇØ Ň€Ŵ ŇØŘΜAŁ#KBF,4249,3920,136667.0,False
stiff middle finger ,7556,662,43107.0,False
🌻R🏴󠁧󠁢󠁷󠁬󠁳󠁿,75,296,4807.0,False
NormskiMacBorg,1662,3284,58115.0,False
Chris Lavender🇬🇧 😷 YES or NO? Make a decision!,92,99,442.0,False
SELECT Restoration Services 🇨🇦,305,506,2866.0,False
Coronavirus ☣️ Turkish Agency,8332,63,175.0,True
GlobalPandemic.NET,26108,26003,2.0,True
UK COVID-19,38864,115,1617.0,True
Patrícia Vasconcellos,6930,365,2408.0,False
Sreedhar Pillai,1171368,726,2037.0,False
G Plus,27919,112,776.0,False
Open Letters,17161,3,2.0,True
Brad Fisher🇨🇦🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿,4079,3894,19512.0,False
Tassy Konto,306,850,24832.0,False
Barbie Snow,813,2829,16981.0,False
Indounik,2514,3243,75040.0,False
Outbreak Science,1204,41,14.0,False
Orlin Borissov,6,13,7.0,True
Journalist Siraj Noorani,624,2683,3337.0,False
Come Closer💎,334,576,10356.0,False
Outbreak Science,1204,41,14.0,False
Steve Gray,1649,4056,99.0,False
"Oh, Lady Mania!",17507,16943,19800.0,False
Outbreak Science,1204,41,14.0,False
India Blooms,15241,2445,17.0,False
"J.-F. Claude, M.S.M.",10304,1543,105258.0,False
Outbreak Science,1204,41,14.0,False
Gulf Today,41022,49,447.0,False
Manisha Bhardwaj,5,12,19.0,True
Gerald Posner,6253,753,9412.0,False
WTFC,1957,1200,39014.0,False
Outbreak Science,1204,41,14.0,False
Edmund Samuel,810,1301,75808.0,False
JAMA Network Open,7881,565,293.0,False
Outbreak Science,1204,41,14.0,False
Outbreak Science,1204,41,14.0,False
Steve Clemons,38368,3764,25394.0,False
Kathryn Murray,1938,3186,11377.0,False
Rhonda Mangus,1981,3570,13121.0,False
Ida Campana,870,867,409.0,False
Outbreak Science,1204,41,14.0,False
COVID19 News,82,132,1.0,True
Brenda J. Peart,1364,2271,31149.0,False
Thor Buttockth,102,92,5758.0,False
Journalist Siraj Noorani,624,2683,3337.0,False
PeepingMoon,6521,1034,833.0,False
We For News,4712,61,4529.0,False
Outbreak Science,1204,41,14.0,False
Royal Society of Tropical Medicine and Hygiene,15305,2713,4019.0,False
SUJ #VoteBlue 🗳,549,506,246.0,False
Alternative Buffalo,12406,2991,26731.0,False
Suky Spook,1960,1956,95918.0,False
Armenian News-NEWSam,4111,301,66.0,False
Outbreak Science,1204,41,14.0,False
Paula Fray,5872,3232,5854.0,False
sbusiso_mdeke,23,22,379.0,False
Outbreak Science,1204,41,14.0,False
Classifieds California,368,609,14.0,False
Outbreak Science,1204,41,14.0,False
jwen,1266,2462,18616.0,False
Digital Health,23,165,86.0,False
Outbreak Science,1204,41,14.0,False
Steve Gray,1649,4056,99.0,False
Costanza Hermanin 🇪🇺,2831,1118,7221.0,False
Outbreak Science,1204,41,14.0,False
lange marc,29,45,94.0,False
Eric Feigl-Ding,243297,4945,86278.0,False
Solidarity Center,6788,2265,1823.0,False
COLLY WOOD PRODUCTION,41,38,195.0,False
MDRC,20578,5364,3033.0,False
ESA,5801,151,308.0,False
Outbreak Science,1204,41,14.0,False
Bruno Massami (Бруно Массами),4069,5001,94992.0,False
fluffy 🇬🇧🇵🇹🇪🇺,751,817,52306.0,False
Diabetes.co.uk,61669,3766,17695.0,False
©GODWELL A. Ngozl,9604,6691,20349.0,False
Outbreak Science,1204,41,14.0,False
PromptCare,50,54,278.0,False
Outbreak Science,1204,41,14.0,False
Soulfully Sowing Seeds 🌻,1868,2361,106.0,False
"Dr. Julia Iafrate, DO, CAQSM, FAAPMR",1057,261,858.0,False
Angsuman's Server,83,28,133.0,False
UN Development,1539451,1593,17721.0,False
Outbreak Science,1204,41,14.0,False
LOSTMINDED,12,65,121.0,True
LatestLY,62622,348,97.0,False
Tramon Mozingo,13,1628,0.0,True
Indoor Muffy Saint-John,1587,1220,87392.0,False
Outbreak Science,1204,41,14.0,False
JanZaxBee🐝💙🌊,13675,12520,141765.0,False
Doctors of the World,15426,3026,9758.0,False
هيئة الصحة بدبي,223566,207,1045.0,False
Outbreak Science,1204,41,14.0,False
Isaac Bogoch,43668,778,20622.0,False
Sharlyn Lauby,34183,16766,758.0,False
Unnikrishnan R Santhosh,327,1280,2114.0,False
Outbreak Science,1204,41,14.0,False
Thomas Harrer,5037,981,2260.0,False
Esh Vishal,1144,260,53729.0,False
Steve in London #LetsGetGoing,628,1466,8444.0,False
Outbreak Science,1204,41,14.0,False
Andrea Batchelor,290,368,4437.0,False
Aditi Raja,5081,139,395.0,False
Outbreak Science,1204,41,14.0,False
Jennifer Coleman,1180,353,71870.0,False
Shubham Misra,113,396,2346.0,False
Tamara McLanahan,1073,2262,12489.0,False
OTV,533537,279,485.0,False
Outbreak Science,1204,41,14.0,False
michelle@fashionedits.com,12381,2699,14.0,False
TsheGo,714,1448,1724.0,False
Outbreak Science,1204,41,14.0,False
Guido Sardine,33,49,7229.0,False
Baaghi TV باغی ٹی وی,37163,5,1382.0,False
Brad M.D.,23468,17185,13777.0,False
Outbreak Science,1204,41,14.0,False
NewsMobile,15325,88,3512.0,False
Sandeep Naligala,420,248,66974.0,False
ATinyBitOfSarcasm,58,178,6855.0,False
CommonWealth Magazine,1485,500,567.0,False
News Ghana,30390,4067,598.0,False
Ville Kostian,5849,4209,16312.0,False
C. Stuart Mauney,1383,1720,4069.0,False
MIT Sloan Management Review,134284,1683,18253.0,False
Dr Ai Lyn Tan,4827,183,8923.0,False
U.S. Surgeon General,844126,233,1896.0,False
Outbreak Science,1204,41,14.0,False
Asima Sadia,430,344,172.0,False
Anthonia👩🏻‍🎓,205,153,10553.0,False
Js kishore,73,1391,1022.0,False
John McGraw,112,409,1747.0,False
Livemint,1902889,117,472.0,False
Gavin Drew #Russia_made_me_do_it,363,896,10182.0,False
(((evan shapiro))),14674,4464,41368.0,False
Judigal,1131,1389,18399.0,False
j.a.Ruiz🍎👊🏿BLM👊🏽,199,372,2111.0,False
DCminx 🕊️🌍🔥💚🌳,12407,13181,62682.0,False
Saeed Abulhusn 🇵🇱,64,421,8743.0,False
AIRGodhra,730,164,1803.0,False
Marry Olson,271,448,948.0,False
The real bendalo dolly,1452,6,178.0,False
UNFPA WCARO,20507,1194,13312.0,False
Dr. Theresa Tam,208753,181,549.0,False
Doha News,512111,2682,5476.0,False
John Blank,256,468,117.0,False
Mx. Joe~Anthony Sierra Let us pray #COVID19 away,355,228,3685.0,False
ENT Operator,2998,721,2883.0,False
Thea Kurdi ♿,2214,2064,25584.0,False
Sumon Chakrabarti,3488,1625,11603.0,False
AiThority.com,4673,442,1515.0,False
Marc C. Whitt,5783,5578,6708.0,False
The Siasat Daily,14979,32,105.0,False
Mmaselema Sa Lenaka,4780,3256,14071.0,False
NachikeT KelkaR,516,442,1378.0,False
Warwickshire CC #StayAlertToStaySafe,14739,843,2637.0,False
Public Health Warwickshire #StayAlertToStaySafe,1748,571,295.0,False
ɹɐ𝗽ɟɐ𝗦 ɐ𝘂ᴉ𝗛,25165,1110,2084.0,False
(#OVO): #StaySafe 🦅,2432,5000,19013.0,False
Frankl & Kominsky,3292,3461,1108.0,False
Resist2020,89,245,12529.0,False
Institute of Virtual,445,2095,619.0,True
G Plus,27919,112,776.0,False
Jan de Jonge,1562,1949,39895.0,False
Dr Nagaratnam Jeyasreedharan (Sree),101,67,104.0,True
QIoT,139,341,459.0,False
Journalist Siraj Noorani,624,2683,3337.0,False
International Medical Corps UK,9157,2904,2490.0,False
uɐıɹǝʇıɓɓƎ,151,205,1784.0,False
RP 🌍,267,1373,203.0,False
AffinMy,748,93,15.0,False
Meryl #FreeThemAll,10055,10053,115091.0,False
Gt Yarmouth Council,6014,421,2595.0,False
Sobey School @ SMU,3242,1468,3992.0,False
publichealthOC,2283,1197,2599.0,False
Teagan Noel,383,395,10218.0,False
🕷🟡 #IAmEuropean #WearAMask #FBPE #FBR,25448,26556,286098.0,False
County Business Clubs Sussex,8163,2166,737.0,False
Dr Nisreen Alwan 🌻,21672,3807,22564.0,False
CWR World News,171,232,14.0,False
Longford County Council,2609,119,1011.0,False
Big Brother Naija,48003,37385,6608.0,False
chris robinson,77,212,1534.0,False
Jason Safoutin,1054,1276,1562.0,False
Source of the Spring,2768,832,5578.0,False
STAR Brokerage Sales & Marketing Agency,58,406,183.0,False
Mitch Fick,2370,317,107.0,False
Laurel Of Asheville,4289,1472,592.0,False
Alex Melikishvili,3270,604,16918.0,False
BASF North America,20037,1598,5937.0,False
Chorley&RoyalPreston,9536,1827,15105.0,False
Mitch Fick,2370,317,107.0,False
Mercer,32625,3667,39198.0,False
TheFinancialDistrict,52,240,4.0,True
Wemos,3126,3859,2532.0,False
MUTU System,6055,3791,2055.0,False
RVH News,2978,682,647.0,False
ʜᴇᴀʟᴛʜ ʙʟᴏɢ 9ᴊᴀ,139,118,617.0,False
The English Dept,649,831,648.0,False
Mamta Carroll,131,194,250.0,False
Hyperbolic,635,402,12913.0,False
Spiritual Boost,32604,4887,5502.0,False
American Thoracic,30441,1009,35139.0,False
UAE Forsan,13083,3,366.0,False
Mitch Fick,2370,317,107.0,False
1310 NEWS,26815,1043,1252.0,False
"Ismaël Maatouk, MD MPH",972,1071,2101.0,False
Jan de Jonge,1562,1949,39895.0,False
G Plus,27919,112,776.0,False
Marsh & McLennan,7574,2362,7645.0,False
Maureen🇰🇪,630,710,3891.0,True
Philipp Negele,75,137,7.0,True
Belfast Telegraph,185593,15208,171.0,False
GPA,37137,2465,1769.0,False
AMA,731467,6917,3205.0,False
AFT-Wisconsin,628,996,781.0,False
Dale Jackson,10800,1669,12890.0,False
FOX 5 Atlanta,630612,1628,8697.0,False
People's History Museum,30715,2286,26267.0,False
Neil Pruitt,1610,1690,476.0,False
PHE West Midlands,3569,1210,10319.0,False
Daily Gazette Sports,4473,1340,1578.0,False
Sugan D Palanee,1370,767,2683.0,False
@PHE_EoEngland,2208,766,5902.0,False
Cognizant,763490,2927,3517.0,False
PHE East Midlands,2054,446,6150.0,False
ChimpReports,78061,1106,1565.0,False
Don West,131,175,68.0,False
Yahoo India,102268,163,141.0,False
Cheshire & Merseyside Health & Care Partnership,1799,434,893.0,False
CATCH Cohort Canada,550,1720,1796.0,False
UNAIDS,267103,1841,3822.0,False
Gulf News,1142417,229,486.0,False
National Herald,99381,315,333.0,False
W. M.,9861,9718,20327.0,False
A K KAUSHAL,412,3114,2505.0,False
RN-Staff,54,70,234.0,False
London Liz,121,306,5838.0,False
Bernews,15824,188,1797.0,False
AGAINST GBV ✊ Amu Vuma,2181,1987,11969.0,False
Kane Guglielmi,6,8,251.0,False
wayne,807,986,18243.0,False
Dr Ayushman Gupta,47,362,1142.0,False
Plan International USA,24548,1180,4391.0,False
Healthy Air Alliance,16266,64,5.0,True
Sergio_Raguso 🌐,4163,2661,24985.0,False
Sightsavers,17215,5084,7938.0,False
Freedom ❤️#BackTheBlue❤️ 🇺🇲#Trump2020🇺🇸,3644,4950,6327.0,False
📢 Karen Murphy ☘️,6749,5225,40046.0,False
Bee Middlemast-Neal #GTTO #FBPE #BLM #Antifa,3936,4129,16144.0,False
Emma Hudson,14441,11030,7763.0,False
Gretchen Ho,883366,1573,50714.0,False
Frank Brehany,2093,4978,5266.0,False
SPJ New England,1132,1244,1018.0,False
George Bray,73225,21970,44292.0,False
"One of the hated white, straight, males.",328,1490,2573.0,False
"Angela Chaudhari, MD",541,369,1749.0,False
Dr Rob Whitehurst,107,24,521.0,False
Cine Peek,14370,6,141.0,False
Sanjay Rastogi,43,125,2693.0,False
"J.-F. Claude, M.S.M.",10304,1543,105258.0,False
COVID-19: The Numbers,14,87,3.0,True
NAWCAD,721,2,38.0,False
Henshaws,6323,1129,5085.0,False
Patient Safety Learning,3470,645,2491.0,False
g_edward_mcauley,76,197,4700.0,False
Timothy Utteridge,2245,1119,14795.0,False
Louise Pascale,1577,1797,3487.0,False
National Cyber Security,5425,161,8.0,True
Rollen Quail Farm,2,5,3.0,True
"J.-F. Claude, M.S.M.",10304,1543,105258.0,False
NATHANOS,232,584,19495.0,False
Ichata movieUpdates Ivabadunu,57,0,126.0,True
Pankaj Arora 🇮🇳,2689,154,2305.0,False
Bihar_se_hai,3546,53,2657.0,False
🎉 2020 is here! Rejoice 👌🏾😀,291,325,191.0,False
Peter Muyombano🇷🇼,6144,729,3540.0,False
TNCoronaUpdates,6601,24,22269.0,False
Shashank kumar Duggal,481,384,137.0,False
DominiqueNotWilkins,248,79,2373.0,False
moneycontrol,886063,285,980.0,False
ᗪᑌᗩᑎE ᑎIᑕOᒪ 🌎,1502,2539,22486.0,False
Akinniyi,919,2169,3574.0,False
PRProPam Pam Purifoy,3874,4955,18608.0,False
Gisele Guenard,1947,1644,5517.0,False
The New Indian Express,445257,552,540.0,False
UneekDose,217,606,270.0,False
Andrew Morgan📐✏🔨📏 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺,1516,1240,18473.0,False
Olummy,266,519,2223.0,False
Sarah Birken,1975,1492,7855.0,False
Dr Tara Quinn-Cirillo,164,556,473.0,True
IrishMa,2419,2062,45940.0,True
Sheree,536,1017,4791.0,False
5MinuteConsult,151,163,87.0,False
JOSH CEF V. PASCUAL,1168,472,4489.0,False
CivicDataLab,671,0,60.0,False
CivicDataLab,671,0,60.0,False
ORF,73796,154,267.0,False
The New Indian Express,445257,552,540.0,False
